TrialNumber,Hit,Miss,FalseAlarm,CorrectRejection,ShownDigit,Signal,Decision,TrialDuration,DigitStart,DigitEnd,DigitDuration,DecisionTimestamp,BlinkStart,BlinkEnd,BlinkDuration,RT
39,1,0,0,0,8,1,1,1.9834339618682861,76.00705909729004,77.9738302230835,1.966771125793457,76.6742331981659,77.97383117675781,77.99049305915833,0.016661882400512695,0.6671741008758545
40,0,0,0,1,3,0,0,1.9833858013153076,78.0071542263031,79.97390723228455,1.9667530059814453,0,79.97390818595886,79.99054002761841,0.0166318416595459,
41,0,0,0,1,1,0,0,1.9834530353546143,80.00718903541565,81.97397708892822,1.9667880535125732,0,81.97397708892822,81.99064207077026,0.016664981842041016,
42,0,0,0,1,4,0,0,1.983497142791748,82.00722002983093,83.97406721115112,1.9668471813201904,0,83.97406721115112,83.99071717262268,0.016649961471557617,
43,0,0,0,1,6,0,0,1.9834060668945312,84.00737500190735,85.97411704063416,1.9667420387268066,0,85.97411704063416,85.99078106880188,0.01666402816772461,
44,0,0,0,1,4,0,0,1.9834389686584473,86.00741720199585,87.97418904304504,1.9667718410491943,0,87.97418904304504,87.9908561706543,0.01666712760925293,
45,0,0,0,1,7,0,0,1.983449935913086,88.00747919082642,89.97423219680786,1.9667530059814453,0,89.97423219680786,89.9909291267395,0.016696929931640625,
46,1,0,0,0,8,1,1,1.9833860397338867,90.00754809379578,91.9743402004242,1.966792106628418,90.47475218772888,91.97434115409851,91.99093413352966,0.016592979431152344,0.46720409393310547
47,0,0,0,1,7,0,0,1.9834349155426025,92.00765419006348,93.97442507743835,1.966770887374878,0,93.97442507743835,93.99108910560608,0.01666402816772461,
48,0,1,0,0,8,1,0,1.98341703414917,94.00774502754211,95.9744861125946,1.9667410850524902,0,95.97448706626892,95.99116206169128,0.01667499542236328,
49,0,0,0,1,3,0,0,1.983407974243164,96.00780916213989,97.97457313537598,1.966763973236084,0,97.9745740890503,97.99121713638306,0.016643047332763672,
50,0,0,0,1,1,0,0,1.9834349155426025,98.0078911781311,99.97465205192566,1.9667608737945557,0,99.97465205192566,99.9913260936737,0.016674041748046875,
51,0,0,0,1,5,0,0,1.9834330081939697,100.00796413421631,101.97472214698792,1.9667580127716064,0,101.97472310066223,101.99139714241028,0.016674041748046875,
52,0,0,0,1,2,0,0,1.9833989143371582,102.00804018974304,103.97479701042175,1.966756820678711,0,103.97479701042175,103.9914391040802,0.016642093658447266,
53,0,0,0,1,5,0,0,1.983363151550293,104.00811505317688,105.97481107711792,1.96669602394104,0,105.97481107711792,105.99147820472717,0.01666712760925293,
54,1,0,0,0,6,1,1,1.9834120273590088,106.00813508033752,107.97487902641296,1.9667439460754395,106.59192705154419,107.97487902641296,107.99154710769653,0.016668081283569336,0.583791971206665
55,0,0,0,1,5,0,0,1.983496904373169,108.0081901550293,109.97502112388611,1.9668309688568115,0,109.97502207756042,109.99168705940247,0.016664981842041016,
56,1,0,0,0,4,1,1,1.9833800792694092,110.00831913948059,111.97503399848938,1.966714859008789,111.0588800907135,111.97503399848938,111.99169921875,0.016665220260620117,1.0505609512329102
57,0,0,0,1,6,0,0,1.9834630489349365,112.00836706161499,113.97514700889587,1.9667799472808838,0,113.97514700889587,113.99183011054993,0.016683101654052734,
58,0,0,0,1,5,0,0,1.9834251403808594,114.00847506523132,115.97523307800293,1.9667580127716064,0,115.97523403167725,115.99190020561218,0.016666173934936523,
59,0,0,0,1,1,0,0,1.9834330081939697,116.00855207443237,117.97530102729797,1.9667489528656006,0,117.97530102729797,117.99198508262634,0.01668405532836914,
60,0,0,0,1,5,0,0,1.9834280014038086,118.00863718986511,119.97540521621704,1.9667680263519287,0,119.97540616989136,119.99206519126892,0.016659021377563477,
61,0,0,0,1,7,0,0,1.9834568500518799,120.00866723060608,121.97542905807495,1.966761827468872,0,121.97542905807495,121.99212408065796,0.016695022583007812,
62,0,0,0,1,3,0,0,1.9834330081939697,122.00877618789673,123.97551608085632,1.9667398929595947,0,123.97551703453064,123.9922091960907,0.016692161560058594,
63,0,0,0,1,4,0,0,1.9834120273590088,124.00886011123657,125.97558116912842,1.9667210578918457,0,125.97558212280273,125.99227213859558,0.01669001579284668,
64,0,0,0,1,7,0,0,1.9833989143371582,126.00894808769226,127.97568821907043,1.9667401313781738,0,127.97568917274475,127.99234700202942,0.01665782928466797,
65,1,0,0,0,2,1,1,1.9834320545196533,128.00899815559387,129.9757571220398,1.9667589664459229,128.70951008796692,129.9757571220398,129.99243021011353,0.01667308807373047,0.7005119323730469
66,0,0,0,1,6,0,0,1.9834239482879639,130.0090720653534,131.975830078125,1.9667580127716064,0,131.975830078125,131.99249601364136,0.016665935516357422,
67,0,0,0,1,2,0,0,1.9834349155426025,132.0091471672058,133.97591710090637,1.9667699337005615,0,133.9759180545807,133.9925820827484,0.01666402816772461,
68,0,0,0,1,7,0,0,1.9834120273590088,134.00923418998718,135.97595310211182,1.9667189121246338,0,135.97595310211182,135.9926462173462,0.016693115234375,
69,1,0,0,0,2,1,1,1.983396053314209,136.00929808616638,137.97606801986694,1.9667699337005615,136.6764760017395,137.97606801986694,137.9926941394806,0.01662611961364746,0.6671779155731201
70,0,0,0,1,1,0,0,1.9834520816802979,138.00935411453247,139.97614216804504,1.9667880535125732,0,139.97614312171936,139.99280619621277,0.016663074493408203,
71,1,0,0,0,8,1,1,1.9834229946136475,140.00945711135864,141.97621512413025,1.9667580127716064,140.69327306747437,141.97621512413025,141.9928801059723,0.016664981842041016,0.6838159561157227
72,0,0,0,1,5,0,0,1.9834108352661133,142.00953316688538,143.97627902030945,1.9667458534240723,0,143.97627902030945,143.9929440021515,0.016664981842041016,
73,0,1,0,0,8,1,0,1.9834649562835693,144.00956511497498,145.97636222839355,1.966797113418579,0,145.97636318206787,145.99303007125854,0.016666889190673828,
74,0,0,0,1,4,0,0,1.9834280014038086,146.0096480846405,147.97644019126892,1.966792106628418,0,147.97644114494324,147.9930760860443,0.01663494110107422,
75,0,0,0,1,7,0,0,1.9834239482879639,148.00975513458252,149.97649121284485,1.966736078262329,0,149.97649216651917,149.99317908287048,0.01668691635131836,
76,1,0,0,0,4,1,1,1.9833898544311523,150.00982117652893,151.97658801078796,1.9667668342590332,150.59365320205688,151.97658801078796,151.99321103096008,0.01662302017211914,0.5838320255279541
