TrialNumber,Hit,Miss,FalseAlarm,CorrectRejection,ShownDigit,Signal,Decision,TrialDuration,DigitStart,DigitEnd,DigitDuration,DecisionTimestamp,BlinkStart,BlinkEnd,BlinkDuration,RT
1,0,0,0,1,6,0,0,0.9834091663360596,0.004918813705444336,0.9716639518737793,0.966745138168335,0,0.9716639518737793,0.9883279800415039,0.01666402816772461,
2,0,0,0,1,4,0,0,0.9833898544311523,1.0049149990081787,1.9716808795928955,0.9667658805847168,0,1.9716808795928955,1.988304853439331,0.016623973846435547,
3,0,0,0,1,7,0,0,0.9834439754486084,2.0049588680267334,2.971735954284668,0.9667770862579346,0,2.9717369079589844,2.988402843475342,0.016665935516357422,
4,1,0,0,0,2,1,1,0.9833018779754639,3.0050649642944336,3.971735954284668,0.9666709899902344,3.522251844406128,3.9717369079589844,3.9883668422698975,0.016629934310913086,0.5171868801116943
5,0,0,0,1,4,0,0,0.983435869216919,4.005028963088989,4.971798896789551,0.9667699337005615,0,4.971799850463867,4.988464832305908,0.016664981842041016,
6,0,0,0,1,7,0,0,0.9833860397338867,5.005117893218994,5.9718358516693115,0.9667179584503174,0,5.971836805343628,5.988503932952881,0.01666712760925293,
7,1,0,0,0,2,1,1,0.9833989143371582,6.0051538944244385,6.971885919570923,0.9667320251464844,6.589008808135986,6.971885919570923,6.988552808761597,0.016666889190673828,0.5838549137115479
8,0,0,0,1,4,0,0,0.9833600521087646,7.005216836929321,7.9719109535217285,0.9666941165924072,0,7.971911907196045,7.988576889038086,0.016664981842041016,
9,0,0,0,1,1,0,0,0.9833450317382812,8.00522780418396,8.971904993057251,0.966677188873291,0,8.971905946731567,8.988572835922241,0.016666889190673828,
10,0,1,0,0,4,1,0,0.9833769798278809,9.00521993637085,9.971926927566528,0.9667069911956787,0,9.971927881240845,9.98859691619873,0.016669034957885742,
11,0,0,0,1,2,0,0,0.983396053314209,10.005244970321655,10.971966981887817,0.9667220115661621,0,10.971967935562134,10.988641023635864,0.01667308807373047,
12,0,0,0,1,8,0,0,0.9833869934082031,11.0052809715271,11.972002983093262,0.9667220115661621,0,11.972003936767578,11.988667964935303,0.01666402816772461,
13,0,0,0,1,5,0,0,0.9834480285644531,12.005326986312866,12.9721097946167,0.966782808303833,0,12.9721097946167,12.98877501487732,0.016665220260620117,
